,Name,Population,Area,Denisty
153,Serbia,"8,737,371","87,460",100
154,Seychelles,"98,347",460,214
155,Sierra Leone,"7,976,983","72,180",111
156,Singapore,"5,850,342",700,"8,358"
157,Slovakia,"5,459,642","48,088",114
158,Slovenia,"2,078,938","20,140",103
159,Solomon Islands,"686,884","27,990",25
160,Somalia,"15,893,222","627,340",25
161,South Africa,"59,308,690","1,213,090",49
162,South Korea,"51,269,185","97,230",527
163,South Sudan,"11,193,725","610,952",18
164,Spain,"46,754,778","498,800",94
165,Sri Lanka,"21,413,249","62,710",341
166,Sudan,"43,849,260","1,765,048",25
167,Suriname,"586,632","156,000",4
168,Sweden,"10,099,265","410,340",25
169,Switzerland,"8,654,622","39,516",219
170,Syria,"17,500,658","183,630",95
171,Tajikistan,"9,537,645","139,960",68
172,Tanzania,"59,734,218","885,800",67
173,Thailand,"69,799,978","510,890",137
174,Timor-Leste,"1,318,445","14,870",89
175,Togo,"8,278,724","54,390",152
176,Tonga,"105,695",720,147
177,Trinidad and Tobago,"1,399,488","5,130",273
178,Tunisia,"11,818,619","155,360",76
179,Turkey,"84,339,067","769,630",110
180,Turkmenistan,"6,031,200","469,930",13
181,Tuvalu,"11,792",30,393
182,Uganda,"45,741,007","199,810",229
183,Ukraine,"43,733,762","579,320",75
184,United Arab Emirates,"9,890,402","83,600",118
185,United Kingdom,"67,886,011","241,930",281
186,United States of America,"331,002,651","9,147,420",36
187,Uruguay,"3,473,730","175,020",20
188,Uzbekistan,"33,469,203","425,400",79
189,Vanuatu,"307,145","12,190",25
190,Venezuela,"28,435,940","882,050",32
191,Vietnam,"97,338,579","310,070",314
192,Yemen,"29,825,964","527,970",56
193,Zambia,"18,383,955","743,390",25
194,Zimbabwe,"14,862,924","386,850",38
